DIM  1 1 1 
v -2.5 -2.5 -2.5
v -2.5 -2.5 -1.5
v -2.5 -2.5 -0.5
v -2.5 -2.5 0.5
v -2.5 -2.5 1.5
v -2.5 -2.5 2.5
v -2.5 -1.5 -2.5
v -2.5 -1.5 -1.5
v -2.5 -1.5 -0.5
v -2.5 -1.5 0.5
v -2.5 -1.5 1.5
v -2.5 -1.5 2.5
v -2.5 -0.5 -2.5
v -2.5 -0.5 -1.5
v -2.5 -0.5 -0.5
v -2.5 -0.5 0.5
v -2.5 -0.5 1.5
v -2.5 -0.5 2.5
v -2.5 0.5 -2.5
v -2.5 0.5 -1.5
v -2.5 0.5 -0.5
v -2.5 0.5 0.5
v -2.5 0.5 1.5
v -2.5 0.5 2.5
v -2.5 1.5 -2.5
v -2.5 1.5 -1.5
v -2.5 1.5 -0.5
v -2.5 1.5 0.5
v -2.5 1.5 1.5
v -2.5 1.5 2.5
v -2.5 2.5 -2.5
v -2.5 2.5 -1.5
v -2.5 2.5 -0.5
v -2.5 2.5 0.5
v -2.5 2.5 1.5
v -2.5 2.5 2.5
v -1.5 -2.5 -2.5
v -1.5 -2.5 -1.5
v -1.5 -2.5 -0.5
v -1.5 -2.5 0.5
v -1.5 -2.5 1.5
v -1.5 -2.5 2.5
v -1.5 -1.5 -2.5
v -1.5 -1.5 -1.5
v -1.5 -1.5 -0.5
v -1.5 -1.5 0.5
v -1.5 -1.5 1.5
v -1.5 -1.5 2.5
v -1.5 -0.5 -2.5
v -1.5 -0.5 -1.5
v -1.5 -0.5 -0.5
v -1.5 -0.5 0.5
v -1.5 -0.5 1.5
v -1.5 -0.5 2.5
v -1.5 0.5 -2.5
v -1.5 0.5 -1.5
v -1.5 0.5 -0.5
v -1.5 0.5 0.5
v -1.5 0.5 1.5
v -1.5 0.5 2.5
v -1.5 1.5 -2.5
v -1.5 1.5 -1.5
v -1.5 1.5 -0.5
v -1.5 1.5 0.5
v -1.5 1.5 1.5
v -1.5 1.5 2.5
v -1.5 2.5 -2.5
v -1.5 2.5 -1.5
v -1.5 2.5 -0.5
v -1.5 2.5 0.5
v -1.5 2.5 1.5
v -1.5 2.5 2.5
v -0.5 -2.5 -2.5
v -0.5 -2.5 -1.5
v -0.5 -2.5 -0.5
v -0.5 -2.5 0.5
v -0.5 -2.5 1.5
v -0.5 -2.5 2.5
v -0.5 -1.5 -2.5
v -0.5 -1.5 -1.5
v -0.5 -1.5 -0.5
v -0.5 -1.5 0.5
v -0.5 -1.5 1.5
v -0.5 -1.5 2.5
v -0.5 -0.5 -2.5
v -0.5 -0.5 -1.5
v -0.5 -0.5 -0.5
v -0.5 -0.5 0.5
v -0.5 -0.5 1.5
